Gene,ho_1,ho_2,ho_3,lo_1,lo_2,lo_3
SIG_09g21060,15674.2186,15810.09718,16599.9431,8137.219009,8337.308726,8755.551122
SIG_07g06300,47.93664787,39.85738784,46.03787706,3.842842507,3.171687316,5.640251958
SIG_08g14050,518.7810559,957.5992925,566.5477524,177.731466,158.5843658,229.3702463
SIG_03g05330,166.1803793,207.4628136,198.2447359,77.81756077,61.31928812,76.14340143
SIG_03g03290,166.1803793,193.1550334,120.2622095,42.27126758,38.0602478,57.34256157
SIG_06g10340,625.3069401,70.51691695,125.8995005,22.09634442,8.457832844,18.80083986
SIG_06g15250,67.11130702,32.70349772,37.58194046,1.921421254,5.286145527,5.640251958
SIG_12g11940,64.98078934,69.49493265,62.01020176,18.25350191,17.97289479,15.98071388
SIG_13g01510,2019.730764,2952.512653,2391.150962,1244.120262,929.3043837,974.8235467
SIG_08g09470,0,0,0,0,452.4940571,0
